POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Bay Shore,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Bay Shore,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Bay Shore,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Bay Shore,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Bay Shore,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Bay Shore,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Bay Shore,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Bay Shore,NY,11934
VFW #414,437 MAIN STREET,Bay Shore,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Bay Shore,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Bay Shore,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Bay Shore,NY,11934
BROTHERS FOUR,310 MAIN STREET,Brightwaters,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Brightwaters,NY,11934
CARVEL,536 MAIN ST.,Brightwaters,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Brightwaters,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Brightwaters,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Brightwaters,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Brightwaters,NY,11934
GOURMET GARDEN,802 MAIN STREET,Brightwaters,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Brightwaters,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Brightwaters,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Brightwaters,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Brightwaters,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Brightwaters,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Brightwaters,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Brightwaters,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Brightwaters,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Brightwaters,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Brightwaters,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Brightwaters,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Brightwaters,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Brightwaters,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Brightwaters,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Brightwaters,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Brightwaters,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Brightwaters,NY,11934
VFW #414,437 MAIN STREET,Brightwaters,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Brightwaters,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Brightwaters,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Brightwaters,NY,11934
BROTHERS FOUR,310 MAIN STREET,Aquebogue,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Aquebogue,NY,11934
CARVEL,536 MAIN ST.,Aquebogue,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Aquebogue,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Aquebogue,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Aquebogue,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Aquebogue,NY,11934
GOURMET GARDEN,802 MAIN STREET,Aquebogue,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Aquebogue,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Aquebogue,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Aquebogue,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Aquebogue,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Aquebogue,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Aquebogue,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Aquebogue,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Aquebogue,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Aquebogue,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Aquebogue,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Aquebogue,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Aquebogue,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Aquebogue,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Aquebogue,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Aquebogue,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Aquebogue,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Aquebogue,NY,11934
VFW #414,437 MAIN STREET,Aquebogue,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Aquebogue,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Aquebogue,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Aquebogue,NY,11934
BROTHERS FOUR,310 MAIN STREET,Babylon,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Babylon,NY,11934
CARVEL,536 MAIN ST.,Babylon,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Babylon,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Babylon,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Babylon,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Babylon,NY,11934
GOURMET GARDEN,802 MAIN STREET,Babylon,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Babylon,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Babylon,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Babylon,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Babylon,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Babylon,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Babylon,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Babylon,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Babylon,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Babylon,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Babylon,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Babylon,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Babylon,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Babylon,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Babylon,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Babylon,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Babylon,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Babylon,NY,11934
VFW #414,437 MAIN STREET,Babylon,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Babylon,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Babylon,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Babylon,NY,11934
BROTHERS FOUR,310 MAIN STREET,Blue Point,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Blue Point,NY,11934
CARVEL,536 MAIN ST.,Blue Point,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Blue Point,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Blue Point,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Blue Point,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Blue Point,NY,11934
GOURMET GARDEN,802 MAIN STREET,Blue Point,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Blue Point,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Blue Point,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Blue Point,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Blue Point,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Blue Point,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Blue Point,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Blue Point,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Blue Point,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Blue Point,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Blue Point,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Blue Point,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Blue Point,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Blue Point,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Blue Point,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Blue Point,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Blue Point,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Blue Point,NY,11934
VFW #414,437 MAIN STREET,Blue Point,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Blue Point,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Blue Point,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Blue Point,NY,11934
BROTHERS FOUR,310 MAIN STREET,Bellport,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Bellport,NY,11934
CARVEL,536 MAIN ST.,Bellport,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Bellport,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Bellport,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Bellport,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Bellport,NY,11934
GOURMET GARDEN,802 MAIN STREET,Bellport,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Bellport,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Bellport,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Bellport,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Bellport,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Bellport,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Bellport,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Bellport,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Bellport,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Bellport,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Bellport,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Bellport,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Bellport,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Bellport,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Bellport,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Bellport,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Bellport,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Bellport,NY,11934
VFW #414,437 MAIN STREET,Bellport,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Bellport,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Bellport,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Bellport,NY,11934
BROTHERS FOUR,310 MAIN STREET,Bridgehampton,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Bridgehampton,NY,11934
CARVEL,536 MAIN ST.,Bridgehampton,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Bridgehampton,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Bridgehampton,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Bridgehampton,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Bridgehampton,NY,11934
GOURMET GARDEN,802 MAIN STREET,Bridgehampton,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Bridgehampton,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Bridgehampton,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Bridgehampton,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Bridgehampton,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Bridgehampton,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Bridgehampton,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Bridgehampton,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Bridgehampton,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Bridgehampton,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Bridgehampton,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Bridgehampton,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Bridgehampton,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Bridgehampton,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Bridgehampton,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Bridgehampton,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Bridgehampton,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Bridgehampton,NY,11934
VFW #414,437 MAIN STREET,Bridgehampton,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Bridgehampton,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Bridgehampton,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Bridgehampton,NY,11934
BLONDIES BAKE SHOP,90-A WASHINGTON DRIVE,Bohemia,NY,11721
CENTERPORT YACHT CLUB,33 BEACH PLUM DRIVE,Bohemia,NY,11721
JIMMYS PIZZA,102 WASHINGTON DRIVE,Bohemia,NY,11721
LAI LAI,111A MILL DAM ROAD,Bohemia,NY,11721
MILL POND HOUSE,437 E. MAIN STREET,Bohemia,NY,11721
NICKYS OF CENTERPORT,6 LITTLE NECK ROAD,Bohemia,NY,11721
RHAPSODY CAKES,2 LITTLE NECK ROAD,Bohemia,NY,11721
THE SHACK,1 STONY HOLLOW ROAD,Bohemia,NY,11721
TIMOTHYS PIZZA,10 B LITTLE NECK ROAD,Bohemia,NY,11721
WASHINGTON DRIVE ELEMENTARY SC,95 WASHINGTON DRIVE,Bohemia,NY,11721
CROWN FRIED CHICKEN,1522 STRAIGHT PATH,Amityville,NY,11798
DAH WAH KITCHEN,1335 STRAIGHT PATH,Amityville,NY,11798
DIP TO NUTS,265 MERRITT AVENUE,Amityville,NY,11798
GOLD LEE,32 COLONIAL SPRING ROAD,Amityville,NY,11798
JACKIE CHANS KITCHEN,1527C STRAIGHT PATH,Amityville,NY,11798
JOCORO DELI & BAKERY,301 MERRITT AVENUE,Amityville,NY,11798
LA FRANCIS HARDIMAN E.S.,792 MOUNT AVENUE,Amityville,NY,11798
LITTLE JOES RESTAURANT,24 COLONIAL SPRINGS ROAD,Amityville,NY,11798
LOS DOS OLIVOS TAQUERIA DELI,1340 STRAIGHT PATH,Amityville,NY,11798
MARTIN A. KESSLER V.F.W. #2912,19 COLONIAL SPRINGS ROAD,Amityville,NY,11798
MARTIN LUTHER KING JR. E.S.,792 MOUNT AVENUE,Amityville,NY,11798
MERCY INN,17 SOUTH 20TH STREET,Amityville,NY,11798
MILTON L. OLIVE MIDDLE SCHOOL,140 GARDEN CITY AVENUE,Amityville,NY,11798
NEW NO. 1 KITCHEN,1393 STRAIGHT PATH,Amityville,NY,11798
NEW TASTE,1527D STRAIGHT PATH,Amityville,NY,11798
PJC CRUZ RESTAURANT & DELI,319 MERRITT AVENUE,Amityville,NY,11798
SUBWAY,1393B STRAIGHT PATH,Amityville,NY,11798
WESTERN SUFFOLK BOCES - JEA AL,31 LEE AVENUE,Amityville,NY,11798
WHEATLEY DELI,10 COLONIAL SPRINGS ROAD,Amityville,NY,11798
WYANDANCH MEMORIAL HS,54 SOUTH 32ND STREET,Amityville,NY,11798
WYANDANCH SENIOR NUTRITION CEN,28 WYANDANCH AVENUE,Amityville,NY,11798
CASA BASSO,59 MONTAUK HWY,Bayport,NY,11977
CUPSOGUE BEACH HUT,WEST END DUNE ROAD,Bayport,NY,11977
BLUESTONE TAVERN,21 MAIN STREET,Centerport,NY,11796
CHERRY AVENUE ELEMENTARY,155 CHERRY AVENUE,Centerport,NY,11796
HOI MING RESTAURANT,469 MONTAUK HIGHWAY,Centerport,NY,11796
KINGSTONS CLAM BAR,130 ATLANTIC AVENUE,Centerport,NY,11796
SAYVILLE HIGH SCHOOL,20 BROOK STREET,Centerport,NY,11796
SCOTTYS PUB,227 MONTAUK HIGHWAY,Centerport,NY,11796
SOUTH SHORE DIVE,65 MAIN STREET,Centerport,NY,11796
THE ICE HOUSE,469 MONTAUK HIGHWAY,Centerport,NY,11796
WEST SAYVILLE GOLF COURSE,MONTAUK HIGHWAY,Centerport,NY,11796
BLUESTONE TAVERN,21 MAIN STREET,Brentwood,NY,11796
CHERRY AVENUE ELEMENTARY,155 CHERRY AVENUE,Brentwood,NY,11796
HOI MING RESTAURANT,469 MONTAUK HIGHWAY,Brentwood,NY,11796
KINGSTONS CLAM BAR,130 ATLANTIC AVENUE,Brentwood,NY,11796
SAYVILLE HIGH SCHOOL,20 BROOK STREET,Brentwood,NY,11796
SCOTTYS PUB,227 MONTAUK HIGHWAY,Brentwood,NY,11796
SOUTH SHORE DIVE,65 MAIN STREET,Brentwood,NY,11796
THE ICE HOUSE,469 MONTAUK HIGHWAY,Brentwood,NY,11796
WEST SAYVILLE GOLF COURSE,MONTAUK HIGHWAY,Brentwood,NY,11796
AL ITALIA PIZZA REST.,999 MONTAUK HIGHWAY,Yaphank,NY,11704
ALATURCA MEDITERRANEAN RESTAUR,691 ROUTE 109,Yaphank,NY,11704
ALBERTS PIZZA II,419F GREAT EAST NECK ROAD,Yaphank,NY,11704
ALFREDOS PIZZA,134 FARMINGDALE ROAD,Yaphank,NY,11704
AMERICAN LEGION POST 94,22 GROVE PLACE,Yaphank,NY,11704
AMF BABYLON LANES,430 SUNRISE HIGHWAY,Yaphank,NY,11704
AU PAIN DORE MELODY BAKERY,987 STRAIGHT PATH,Yaphank,NY,11704
BAGEL & DELI CREATIONS,669 ROUTE 109,Yaphank,NY,11704
BAGEL FACTORY,615 MONTAUK HWY,Yaphank,NY,11704
BELMONT ELEMENTARY,108 BARNUM STREET,Yaphank,NY,11704
BERGEN BAY DELI,605 BERGEN AVENUE,Yaphank,NY,11704
BERGEN POINT RESTAURANT,69 BERGEN AVENUE,Yaphank,NY,11704
BLAZE PIZZA,895 MONTAUK HIGHWAY,Yaphank,NY,11704
BO BO KITCHEN,86 ROUTE 109,Yaphank,NY,11704
BRUNELLOS PIZZA & PASTA,929 LITTLE EAST NECK ROAD,Yaphank,NY,11704
BURGER KING - STORE #308,628 MONTAUK HIGHWAY,Yaphank,NY,11704
CAFE GIO,761 SUNRISE HIGHWAY,Yaphank,NY,11704
CARVEL,937 LITTLE EAST NECK ROAD,Yaphank,NY,11704
CHUNG HING CHINESE RESTAURANT,753 SUNRISE HIGHWAY,Yaphank,NY,11704
DA VIA PIZZA,885 ROUTE 109,Yaphank,NY,11704
DISTINCTIVE GOURMET MEALS,726 ELMWOOD ROAD,Yaphank,NY,11704
DOOLEYS BAGELS,930 STRAIGHT PATH,Yaphank,NY,11704
DOVER @ BELMONT LAKE STATE PAR,625 BELMONT AVENUE,Yaphank,NY,11704
DUNKIN DONUTS,397-9 LITTLE EAST NECK RD,Yaphank,NY,11704
EAST NECK BAGELS,1005 LITTLE EAST NECK ROAD,Yaphank,NY,11704
EDISON AVENUE HERO EXPRES,237 EDISON AVENUE,Yaphank,NY,11704
ENERGY FUEL CAFE,369 LITTLE EAST NECK ROAD,Yaphank,NY,11704
FLAMING GRILL & BUFFET,527 MONTAUK HIGHWAY,Yaphank,NY,11704
FOOD & FUN,1228 WELLWOOD AVENUE,Yaphank,NY,11704
FOOD LUCK KITCHEN,940 LITTLE EAST NECK ROAD,Yaphank,NY,11704
FOREST AVENUE ELEMENTARY SCHOO,200 FOREST AVENUE,Yaphank,NY,11704
FRANKS DELI PLUS,1018 LITTLE E. NECK ROAD,Yaphank,NY,11704
GIOVANNIS PIZZA,1009 LITTLE EAST NECK RD,Yaphank,NY,11704
GOLD CITY OF BELMONT,770 BELMONT AVENUE,Yaphank,NY,11704
HONG KONG,27 BROOKVALE AVENUE,Yaphank,NY,11704
ICHIRO SUSHI JAPANESE CUISINE,130-132 ROUTE 109,Yaphank,NY,11704
IHOP,651 MONTAUK HIGHWAY,Yaphank,NY,11704
INFINITY DINER,663 FARMINGDALE ROAD,Yaphank,NY,11704
ISLAND GRILL,926B LITTLE EAST NECK ROAD,Yaphank,NY,11704
J & G FROZEN YOGURT,421 GREAT EAST NECK ROAD,Yaphank,NY,11704
JESSENS DELI,364 LITTLE EAST NECK ROAD,Yaphank,NY,11704
JOHN F. KENNEDY ELEMENTARY SCH,175 BROOKVALE AVENUE,Yaphank,NY,11704
